Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,5,asymmetric,symmetric,0.5559820161816891
100% Corpus,6,0.1,0.1,0.5429534177443481
100% Corpus,6,0.1,0.4,0.566265884139137
100% Corpus,6,0.1,0.7000000000000001,0.5612135421868841
100% Corpus,6,0.1,symmetric,0.5383606582272775
100% Corpus,6,0.4,0.1,0.5691965776674001
100% Corpus,6,0.4,0.4,0.5577492238216585
100% Corpus,6,0.4,0.7000000000000001,0.5414662972875831
100% Corpus,6,0.4,symmetric,0.5634117465136502
100% Corpus,6,0.7000000000000001,0.1,0.5396599262341403
100% Corpus,6,0.7000000000000001,0.4,0.5071951719516065
100% Corpus,6,0.7000000000000001,0.7000000000000001,0.49929629694944805
100% Corpus,6,0.7000000000000001,symmetric,0.5415005905806597
100% Corpus,6,symmetric,0.1,0.5296835036861761
100% Corpus,6,symmetric,0.4,0.5470757502780066
100% Corpus,6,symmetric,0.7000000000000001,0.5624488163571489
100% Corpus,6,symmetric,symmetric,0.5572994132497665
100% Corpus,6,asymmetric,0.1,0.5688815305543454
100% Corpus,6,asymmetric,0.4,0.5766078677782129
100% Corpus,6,asymmetric,0.7000000000000001,0.5905278436760882
100% Corpus,6,asymmetric,symmetric,0.5646277989183243
100% Corpus,7,0.1,0.1,0.520820900145189
100% Corpus,7,0.1,0.4,0.5788291294381258
100% Corpus,7,0.1,0.7000000000000001,0.5532719734692924
100% Corpus,7,0.1,symmetric,0.5455080253761947
100% Corpus,7,0.4,0.1,0.5580250757735924
100% Corpus,7,0.4,0.4,0.5572009887119502
100% Corpus,7,0.4,0.7000000000000001,0.5213538642214104
100% Corpus,7,0.4,symmetric,0.5525311690832481
100% Corpus,7,0.7000000000000001,0.1,0.5439639985399164
100% Corpus,7,0.7000000000000001,0.4,0.513142220530856
100% Corpus,7,0.7000000000000001,0.7000000000000001,0.5129936444144632
100% Corpus,7,0.7000000000000001,symmetric,0.5379753120567419
100% Corpus,7,symmetric,0.1,0.5502785769109261
100% Corpus,7,symmetric,0.4,0.5680205192790814
100% Corpus,7,symmetric,0.7000000000000001,0.5426676427982858
100% Corpus,7,symmetric,symmetric,0.54766737442534
100% Corpus,7,asymmetric,0.1,0.5318299671680625
100% Corpus,7,asymmetric,0.4,0.5648062686790786
100% Corpus,7,asymmetric,0.7000000000000001,0.5677237994240967
100% Corpus,7,asymmetric,symmetric,0.5582630730658
100% Corpus,8,0.1,0.1,0.544889172542104
100% Corpus,8,0.1,0.4,0.5729441139183866
100% Corpus,8,0.1,0.7000000000000001,0.580583828155163
100% Corpus,8,0.1,symmetric,0.5455640595491407
100% Corpus,8,0.4,0.1,0.5761952061043829
100% Corpus,8,0.4,0.4,0.56585701018938
100% Corpus,8,0.4,0.7000000000000001,0.5442145162409623
100% Corpus,8,0.4,symmetric,0.5854827919426979
100% Corpus,8,0.7000000000000001,0.1,0.5526006830399763
100% Corpus,8,0.7000000000000001,0.4,0.5150168553449415
100% Corpus,8,0.7000000000000001,0.7000000000000001,0.5176328897844746
100% Corpus,8,0.7000000000000001,symmetric,0.5409916054467703
100% Corpus,8,symmetric,0.1,0.5530470246886796
100% Corpus,8,symmetric,0.4,0.5926749170931823
100% Corpus,8,symmetric,0.7000000000000001,0.575472870503672
100% Corpus,8,symmetric,symmetric,0.5590968642178396
100% Corpus,8,asymmetric,0.1,0.5601637485853139
100% Corpus,8,asymmetric,0.4,0.575151635265612
100% Corpus,8,asymmetric,0.7000000000000001,0.5614929281429374
100% Corpus,8,asymmetric,symmetric,0.5564956670113093
100% Corpus,9,0.1,0.1,0.5715676881128614
100% Corpus,9,0.1,0.4,0.5872453221981041
100% Corpus,9,0.1,0.7000000000000001,0.5591878172603727
100% Corpus,9,0.1,symmetric,0.572128301130726
100% Corpus,9,0.4,0.1,0.5689402685453324
